rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/std,train/approx_kl,train/loss,train/n_updates,train/learning_rate,train/clip_fraction
1.0,-0.24403574999999997,4352,68,1293,3,0.03143709972500801,-2.5037244081497194,-0.008675530180335045,0.2,0.03028815984725952,0.8448613882064819,0.015593884,0.006444770842790604,670,0.0003,0.0875
1.0,-0.22674176999999995,4416,69,1294,3,0.029294473119080067,-2.4982069730758667,-0.0038907429203391074,0.2,0.033418476581573486,0.8424710035324097,0.0029617772,0.004303045570850372,680,0.0003,0.003125
1.0,-0.23208636000000002,4480,70,1296,3,0.024371661245822906,-2.49255485534668,-0.01808661688119173,0.2,0.026202499866485596,0.8402460813522339,0.010543457,-0.015360738150775433,690,0.0003,0.059375
1.0,-0.26200096,4544,71,1297,3,0.02700706757605076,-2.4872222423553465,-0.004601490870118141,0.2,0.026101887226104736,0.837738037109375,0.005612893,0.0058360956609249115,700,0.0003,0.021875
1.0,-0.24468028,4608,72,1298,3,0.038098957389593124,-2.4810864686965943,-0.009030949883162975,0.2,0.004898250102996826,0.8353958129882812,0.0077305697,-0.0031448621302843094,710,0.0003,0.01875
1.0,-0.21755123999999995,4672,73,1299,3,0.024888974241912366,-2.4760870933532715,-0.003658196423202753,0.2,0.040577590465545654,0.833539605140686,0.003298684,0.0013728337362408638,720,0.0003,0.003125
1.0,-0.26566568,4736,74,1299,3,0.034345788136124614,-2.4717567920684815,-0.01281632175669074,0.2,0.05572926998138428,0.8317317962646484,0.0069707576,-0.01100463978946209,730,0.0003,0.028125
1.0,-0.26693500000000003,4800,75,1300,3,0.039649351686239245,-2.467301630973816,0.0013634237460792066,0.2,-0.031241536140441895,0.8298076391220093,0.00048713107,0.01068960689008236,740,0.0003,0.0
1.0,-0.23148636999999997,4864,76,1301,3,0.038823601230978964,-2.4624542236328124,-0.022655221773311494,0.2,-0.026895999908447266,0.8275847434997559,0.009651391,-0.016556743532419205,750,0.0003,0.0421875
1.0,-0.2272277,4928,77,1301,3,0.04451936818659306,-2.456566500663757,-0.0037406050600111485,0.2,0.024317681789398193,0.8250299692153931,0.0026117032,0.008149072527885437,760,0.0003,0.003125
1.0,-0.23166638999999997,4992,78,1300,3,0.03249131441116333,-2.4505420446395876,-0.01631366405636072,0.2,-0.015190958976745605,0.8227458596229553,0.011482585,-0.007773617282509804,770,0.0003,0.059375
1.0,-0.22822629999999997,5056,79,1301,3,0.02443669904023409,-2.4453229904174805,-0.007928812596946954,0.2,0.005645871162414551,0.8206207752227783,0.0061314525,-0.001728178933262825,780,0.0003,0.01875
1.0,-0.24193052,5120,80,1301,3,0.03738433234393597,-2.4394520044326784,-0.004846004862338304,0.2,0.01173102855682373,0.8176515698432922,0.004797997,0.00948006846010685,790,0.0003,0.0078125
1.0,-0.22273072999999996,5184,81,1300,3,0.02741558961570263,-2.432209873199463,-0.010397459845989943,0.2,0.07453054189682007,0.8152340650558472,0.0076621193,-0.00706835463643074,800,0.0003,0.0140625
1.0,-0.2493311,5248,82,1299,4,0.03416512086987496,-2.4270970821380615,-0.0015185477212071418,0.2,0.004707515239715576,0.8132265210151672,0.0018961169,0.011614581570029259,810,0.0003,0.0
1.0,-0.26392961000000004,5312,83,1300,4,0.04236992709338665,-2.4216429233551025,-0.0063327493146061896,0.2,0.02455008029937744,0.8107403516769409,0.00616372,0.009297408163547516,820,0.0003,0.0203125
1.0,-0.27523307999999996,5376,84,1299,4,0.05682351402938366,-2.415573835372925,-0.025374348275363445,0.2,0.05228745937347412,0.8085306882858276,0.01184227,-0.01740221306681633,830,0.0003,0.0484375
