time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/policy_gradient_loss
14,-0.25655151,1.0,896,1196,0,0.0453125,-0.040038347244262695,0.008823502,0.0003,-2.779808592796326,130,0.05424794889986515,0.9697016477584839,0.2,0.004097800701856613,-0.015460187196731567
15,-0.24195023,1.0,960,1191,0,0.0046875,-0.07910037040710449,0.0044595534,0.0003,-2.773491048812866,140,0.055603010952472685,0.9665330052375793,0.2,0.007764440029859543,-0.010094490088522434
16,-0.29642007,1.0,1024,1190,0,0.0359375,-0.021694660186767578,0.008448187,0.0003,-2.766542339324951,150,0.04155273362994194,0.9631312489509583,0.2,0.009125890210270882,-0.007648447155952453
17,-0.28386409,1.0,1088,1192,0,0.01875,0.001497805118560791,0.008124662,0.0003,-2.759744334220886,160,0.07877654805779458,0.9599408507347107,0.2,0.0032727159559726715,-0.018347167409956455
18,-0.27181921,1.0,1152,1189,0,0.0296875,-0.05696702003479004,0.009542173,0.0003,-2.7529462575912476,170,0.05058104619383812,0.9565334320068359,0.2,0.007380874827504158,-0.012522755563259125
19,-0.24807143,1.0,1216,1186,1,0.0,-0.021552443504333496,0.0011955248,0.0003,-2.7460540294647218,180,0.05425206683576107,0.9535621404647827,0.2,0.007635859772562981,-0.006982621178030968
20,-0.23187634999999995,1.0,1280,1178,1,0.1015625,0.00772017240524292,0.021121223,0.0003,-2.7406425714492797,190,0.04095009304583073,0.9514034390449524,0.2,-0.020211027935147285,-0.026058635860681533
21,-0.24948494,1.0,1344,1178,1,0.0,-0.05348503589630127,0.0012494093,0.0003,-2.7359844207763673,200,0.04813066050410271,0.9489392042160034,0.2,0.011563663370907307,-0.003686485067009926
22,-0.27418475000000003,1.0,1408,1181,1,0.0046875,-0.004319906234741211,0.0038823923,0.0003,-2.730464720726013,210,0.04089354611933231,0.9462026953697205,0.2,0.005310354754328728,-0.005760874785482884
23,-0.29274979,1.0,1472,1184,1,0.0640625,-0.019028425216674805,0.012967958,0.0003,-2.7249909400939942,220,0.04798299148678779,0.9439883828163147,0.2,0.006481267511844635,-0.008590586204081773
24,-0.30625961,1.0,1536,1184,1,0.0,-0.02550947666168213,0.0009373231,0.0003,-2.7200825452804565,230,0.04833007678389549,0.9411590099334717,0.2,0.017863666638731956,-0.0017157619819045066
25,-0.31034638999999997,1.0,1600,1183,1,0.06875,-0.006125807762145996,0.014574603,0.0003,-2.7135908126831056,240,0.04589258581399917,0.938193142414093,0.2,0.003280036151409149,-0.011807938758283853
