rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/std,train/n_updates,train/learning_rate,train/value_loss
0.0,0,0,1,,,,,,,,,,,,,
-0.39127098437499996,1,64,1.0,2538,0,,,,,,,,,,,
-0.45839611999999996,2,128,1.0,1455,0,-0.005343400873243809,0.2,-2.837872290611267,0.04814998432993889,-0.4523714780807495,0.00042427052,0.0,0.9999926090240479,10,0.0003,0.15146390125155448
-0.38572118000000005,3,192,1.0,1299,0,-0.006464808527380228,0.2,-2.8365870475769044,0.025051549077033997,-0.28967344760894775,0.000721002,0.0,0.998199462890625,20,0.0003,0.09522706791758537
-0.37936234999999996,4,256,1.0,1246,0,-0.00801806515082717,0.2,-2.8317901849746705,0.013997785747051239,0.01397770643234253,0.001119256,0.0,0.9954380989074707,30,0.0003,0.07365986481308937
-0.42190821,5,320,1.0,1202,0,-0.01712901722639799,0.2,-2.826831030845642,-0.008226798847317696,0.040540337562561035,0.0031629195,0.0,0.9936033487319946,40,0.0003,0.058226378262043
-0.38073149,6,384,1.0,1131,0,-0.014562835078686475,0.2,-2.823099970817566,-0.005237681791186333,0.3201090097427368,0.005107795,0.0078125,0.9912034869194031,50,0.0003,0.04808910936117172
-0.38932940000000005,7,448,1.0,1127,0,-0.028867040202021597,0.2,-2.817681646347046,-0.02635820209980011,0.15826791524887085,0.008279361,0.025,0.9884159564971924,60,0.0003,0.06030782461166382
-0.41094812,8,512,1.0,1145,0,-0.028145217895507814,0.2,-2.8118905305862425,-0.02395201288163662,0.3533015251159668,0.009009022,0.028125,0.9854676723480225,70,0.0003,0.05981959067285061
-0.40449708,9,576,1.0,1139,0,-0.023191254958510397,0.2,-2.8057648658752443,-0.01294257678091526,0.2923455238342285,0.012597255,0.053125,0.9823466539382935,80,0.0003,0.05709569416940212
-0.3563026000000001,10,640,1.0,1153,0,-0.01752208610996604,0.2,-2.799299120903015,-0.0033557377755641937,0.20469582080841064,0.008429456,0.025,0.9791051149368286,90,0.0003,0.0606767475605011
-0.32645163999999993,11,704,1.0,1156,0,-0.031530091911554335,0.2,-2.7929096460342406,-0.02407190203666687,0.10860520601272583,0.017048968,0.0578125,0.9762674570083618,100,0.0003,0.0726476214826107
-0.31292282,12,768,1.0,1153,0,-0.002744058705866337,0.2,-2.7873985528945924,0.026082178577780724,-0.2253429889678955,0.005494985,0.021875,0.973631739616394,110,0.0003,0.07535492330789566
-0.30265937,13,832,1.0,1152,0,-0.014173041470348835,0.2,-2.7824320793151855,-0.007922099903225899,0.14516162872314453,0.00434283,0.003125,0.9716519117355347,120,0.0003,0.05490527562797069
-0.30910974999999996,14,896,1.0,1145,0,-0.020066448114812376,0.2,-2.7786834478378295,0.0039284490048885345,-0.2697134017944336,0.009192211,0.0390625,0.9698272943496704,130,0.0003,0.08660157322883606
-0.30504133000000005,15,960,1.0,1071,0,-0.02469562403857708,0.2,-2.7744298696517946,-0.011031478643417358,-0.12362015247344971,0.0071952688,0.025,0.9672025442123413,140,0.0003,0.07012278363108634
-0.29452259999999997,16,1024,1.0,1071,0,-0.024240247253328562,0.2,-2.7679709434509276,-0.01973344199359417,-0.12480390071868896,0.0078031477,0.034375,0.9637965559959412,150,0.0003,0.05235637463629246
-0.28491394000000003,17,1088,1.0,1065,1,-0.008687188662588597,0.2,-2.7613237619400026,0.008677978068590164,-0.013773322105407715,0.0018260144,0.003125,0.9608946442604065,160,0.0003,0.057057762518525124
-0.28832357,18,1152,1.0,1071,1,-0.014957446791231632,0.2,-2.75518798828125,-0.004712298512458801,0.010088205337524414,0.0037964704,0.00625,0.9576534032821655,170,0.0003,0.05192873813211918
-0.30594416999999996,19,1216,1.0,1072,1,-0.016975370328873397,0.2,-2.748159170150757,-0.000549042597413063,-0.024185895919799805,0.008948521,0.0453125,0.9543725252151489,180,0.0003,0.054878580197691915
-0.25209998,20,1280,1.0,1076,1,-0.01844335375353694,0.2,-2.7418670892715453,-0.011492881923913956,-0.0006220340728759766,0.0055211205,0.015625,0.9516743421554565,190,0.0003,0.0479859720915556
-0.22602470000000005,21,1344,1.0,1079,1,-0.017546732164919376,0.2,-2.7369083642959593,-0.013747800141572952,0.02780437469482422,0.015530962,0.0578125,0.9499679803848267,200,0.0003,0.04415908306837082
-0.25740420999999997,22,1408,1.0,1078,1,-0.009154518321156501,0.2,-2.733764147758484,0.011761264875531197,0.027804017066955566,0.0147964405,0.084375,0.9482651948928833,210,0.0003,0.04113041236996651
-0.2774566,23,1472,1.0,1079,1,-0.006778709962964058,0.2,-2.7292173385620115,0.00338140781968832,0.0015679001808166504,0.006149033,0.009375,0.9455505609512329,220,0.0003,0.03695903904736042
-0.2632898699999999,24,1536,1.0,1082,1,-0.001077723130583763,0.2,-2.722444677352905,0.013777922838926315,0.010926246643066406,0.0027448842,0.0078125,0.9418075680732727,230,0.0003,0.04054904952645302
-0.25096377000000003,25,1600,1.0,1079,1,-0.016001203376799823,0.2,-2.714917302131653,-0.011475149542093277,0.011560022830963135,0.0044652857,0.009375,0.938940167427063,240,0.0003,0.04188970364630222
-0.24575873,26,1664,1.0,1083,1,-0.015679461322724818,0.2,-2.709438133239746,-0.0071180108934640884,0.01889932155609131,0.008112157,0.0203125,0.9362361431121826,250,0.0003,0.04942862242460251
-0.28501447,27,1728,1.0,1084,1,-0.016930727753788233,0.2,-2.7028846025466917,-0.001732880249619484,0.005629360675811768,0.013809382,0.05625,0.9330081939697266,260,0.0003,0.04677617624402046
-0.26597467,28,1792,1.0,1080,1,-0.004464539233595133,0.2,-2.695513677597046,0.0071730297058820724,0.023611724376678467,0.004723971,0.0140625,0.9290726184844971,270,0.0003,0.03375589922070503
-0.26206391999999995,29,1856,1.0,1074,1,-0.0036559682339429855,0.2,-2.687089443206787,0.0049919746816158295,0.0038573145866394043,0.0004763538,0.0,0.925621509552002,280,0.0003,0.037948298081755635
