w_power,w_delay,size,vdd,power,delay
0.01666666753590107,0.9833333492279053,0.7214946150779724,0.7198638319969177,0.26975338054549325,1.9216804586743836
0.03333333507180214,0.9666666388511658,0.7134041786193848,0.7135840058326721,0.25915614561315947,1.960500573333739
0.05000000074505806,0.949999988079071,0.7052310109138489,0.7072440981864929,0.2487719820701308,2.0009185403568805
0.06666667014360428,0.9333333373069763,0.696975827217102,0.7008442282676697,0.2386043923880678,2.043019928879973
0.0833333358168602,0.9166666865348816,0.688639223575592,0.6943844556808472,0.22865646857061686,2.086896829566307
0.10000000149011612,0.8999999761581421,0.6802220940589905,0.6878650188446045,0.21893133040556365,2.1326464116848496
0.11666666716337204,0.8833333253860474,0.6717255115509033,0.6812864542007446,0.20943207404807632,2.180371246417196
0.13333334028720856,0.8666666746139526,0.6631503701210022,0.6746487617492676,0.20016101189590976,2.230183600747601
0.15000000596046448,0.8500000238418579,0.6544976830482483,0.6679525375366211,0.19112057135369237,2.282201582572197
0.1666666716337204,0.8333333134651184,0.6457684636116028,0.66119784116745,0.18231253015699533,2.3365538848101632
0.18333333730697632,0.8166666626930237,0.6369642019271851,0.6543852686882019,0.17373890441613568,2.3933751924791165
0.20000000298023224,0.800000011920929,0.6280860304832458,0.6475152373313904,0.16540104678288134,2.4528123358117377
0.21666666865348816,0.7833333015441895,0.619135320186615,0.6405879855155945,0.1573000057261514,2.515023192254831
0.23333333432674408,0.7666666507720947,0.6101134419441223,0.633604109287262,0.14943666174507886,2.580176508368751
0.25,0.75,0.6010220050811768,0.6265642046928406,0.1418116488074928,2.648453256330772
0.2666666805744171,0.7333333492279053,0.5918624997138977,0.6194685697555542,0.1344250481276412,2.72005062548425
0.28333333134651184,0.7166666984558105,0.5826365351676941,0.6123179793357849,0.127276859858321,2.795179119568343
0.30000001192092896,0.699999988079071,0.573345959186554,0.6051128506660461,0.12036667512022729,2.874066941723153
0.3166666626930237,0.6833333373069763,0.5639923214912415,0.5978540182113647,0.11369377523697889,2.9569607650368046
0.3333333432674408,0.6666666269302368,0.5545775294303894,0.5905419588088989,0.10725710185619179,3.0441279786486417
0.3499999940395355,0.6499999761581421,0.5451034307479858,0.5831774473190308,0.10105534100084905,3.1358576398592706
0.36666667461395264,0.6333333253860474,0.5355720520019531,0.5757611989974976,0.09508688055456507,3.232463169269543
0.38333332538604736,0.6166666746139526,0.5259853005409241,0.5682940483093262,0.08934976818755129,3.3342856520444664
0.4000000059604645,0.6000000238418579,0.5163452625274658,0.5607767701148987,0.0838417671127699,3.44169594961079
0.4166666567325592,0.5833333730697632,0.506653904914856,0.5532101392745972,0.07856028512932364,3.555099525692062
0.4333333373069763,0.5666666626930237,0.4969133734703064,0.5455949902534485,0.07350250122845135,3.6749378263145336
0.44999998807907104,0.550000011920929,0.4871259033679962,0.5379324555397034,0.068665398345772,3.8016911186088627
0.46666666865348816,0.5333333015441895,0.4772936999797821,0.5302233099937439,0.0640455614132791,3.9358883858353026
0.4833333194255829,0.5166666507720947,0.4674188792705536,0.5224685072898865,0.059639327129458165,4.078109763267725
0.5,0.5,0.4575037360191345,0.5146692991256714,0.0554428842540121,4.228989153581608
0.5166666507720947,0.4833333492279053,0.44755059480667114,0.5068265199661255,0.05145208048218334,4.389227754951347
0.5333333611488342,0.46666663885116577,0.43756163120269775,0.49894142150878906,0.047662584193617026,4.559597125164008
0.550000011920929,0.44999998807907104,0.42753925919532776,0.4910150468349457,0.04406985309247364,4.740949553172146
0.5666666626930237,0.4333333373069763,0.4174857437610626,0.48304858803749084,0.04066913483946854,4.934229215125357
0.5833333134651184,0.4166666865348816,0.40740346908569336,0.47504323720932007,0.037455510879387685,5.140482635717242
0.6000000238418579,0.3999999761581421,0.39729470014572144,0.46700021624565125,0.034423871084652245,5.36087505389928
0.6166666746139526,0.38333332538604736,0.38716191053390503,0.458920955657959,0.03156901468951574,5.596700195253589
0.6333333253860474,0.36666667461395264,0.37700730562210083,0.4508066475391388,0.02888551766018809,5.849410453481069
0.6499999761581421,0.3500000238418579,0.36683329939842224,0.44265860319137573,0.026367886616482473,6.120628433047769
0.6666666865348816,0.3333333134651184,0.35664212703704834,0.43447816371917725,0.02401049929128669,6.412179387507243
0.6833333373069763,0.3166666626930237,0.3464362621307373,0.4262668490409851,0.021807697064688658,6.726112323058506
0.699999988079071,0.30000001192092896,0.33621788024902344,0.41802605986595154,0.01975369413034956,7.064749487644298
0.7166666388511658,0.28333336114883423,0.32598936557769775,0.40975719690322876,0.01784267832256929,7.430718470676229
0.7333333492279053,0.2666666507720947,0.31575292348861694,0.40146172046661377,0.016068785129789723,7.827009814373156
0.75,0.25,0.30551087856292725,0.3931412398815155,0.014426154007710239,8.257029736518353
0.7666666507720947,0.23333334922790527,0.29526543617248535,0.3847971558570862,0.012908890873395447,8.724686408233492
0.7833333611488342,0.21666663885116577,0.28501877188682556,0.37643104791641235,0.01151112585581623,9.234470266326136
0.800000011920929,0.19999998807907104,0.27477312088012695,0.36804449558258057,0.010227020976759791,9.791563590719766
0.8166666626930237,0.18333333730697632,0.26453062891960144,0.35963910818099976,0.009050774675899077,10.401978263823707
0.8333333134651184,0.1666666865348816,0.2542934715747833,0.3512164354324341,0.007976641675067404,11.072719943814182
0.8500000238418579,0.1499999761581421,0.2440636157989502,0.3427780270576477,0.006998936151350297,11.8120032695883
0.8666666746139526,0.13333332538604736,0.23384326696395874,0.3343255817890167,0.0061120789820312375,12.629485971643648
0.8833333253860474,0.11666667461395264,0.22363436222076416,0.3258606493473053,0.005310567186717092,13.536628497598539
0.8999999761581421,0.10000002384185791,0.2134389579296112,0.31738486886024475,0.004589018622933934,14.547084734690278
0.9166666865348816,0.08333331346511841,0.2032589465379715,0.3088998794555664,0.003942165186777568,15.677258159880305
0.9333333373069763,0.06666666269302368,0.1930963397026062,0.3004073202610016,0.003364876316685431,16.94698276494301
0.949999988079071,0.050000011920928955,0.18295298516750336,0.2919088304042816,0.0028521572482420204,18.380463564936754
0.9666666388511658,0.03333336114883423,0.1728307157754898,0.28340598940849304,0.0023991638316314423,20.007498808740543
0.9833333492279053,0.016666650772094727,0.16273133456707,0.2749004065990448,0.0020012121761878265,21.865135388909806
1.0,0.0,0.1526566445827484,0.266393780708313,0.0016537870525542351,23.999934316609075
