power,delay,size,vdd,w_power,w_delay
0.001168093119543481,28.42736089419297,0.2342214584350586,0.145919069647789,1.0,0.0
0.0015775176446061428,24.559177293854546,0.2474871575832367,0.16048499941825867,0.9833333492279053,0.016666650772094727
0.002083981882377454,21.43592835948977,0.26075664162635803,0.17506994307041168,0.9666666388511658,0.03333336114883423
0.0027013139511993744,18.877125812676425,0.27402564883232117,0.18966898322105408,0.949999988079071,0.050000011920928955
0.0034441476909390645,16.754105978734874,0.28728997707366943,0.20427744090557098,0.9333333373069763,0.06666666269302368
0.004327862295797023,14.973088070181076,0.3005453646183014,0.21889038383960724,0.9166666865348816,0.08333331346511841
0.005368542163728511,13.46432575173693,0.313787579536438,0.23350298404693604,0.8999999761581421,0.10000002384185791
0.006582896268471735,12.175070268471066,0.32701218128204346,0.24811017513275146,0.8833333253860474,0.11666667461395264
0.007988220243401649,11.06478115124178,0.34021493792533875,0.262706995010376,0.8666666746139526,0.13333332538604736
0.009602313489535101,10.101888151313704,0.35339152812957764,0.2772884666919708,0.8500000238418579,0.1499999761581421
0.011443409326988438,9.26149984162769,0.3665376901626587,0.2918495833873749,0.8333333134651184,0.1666666865348816
0.013530080841896679,8.523777560213787,0.3796490728855133,0.30638524889945984,0.8166666626930237,0.18333333730697632
0.0158811859234707,7.872740154530601,0.39272141456604004,0.32089051604270935,0.800000011920929,0.19999998807907104
0.01851577299966272,7.295400026566812,0.4057506024837494,0.3353603780269623,0.7833333611488342,0.21666663885116577
0.02145298252269877,6.781115303237426,0.41873231530189514,0.34978997707366943,0.7666666507720947,0.23333334922790527
0.02471195841030104,6.321097467329713,0.43166252970695496,0.3641742467880249,0.75,0.25
0.028311776242669777,5.908034261820751,0.44453710317611694,0.37850841879844666,0.7333333492279053,0.2666666507720947
0.03227135709006715,5.535801871560987,0.4573521316051483,0.39278772473335266,0.7166666388511658,0.28333336114883423
0.036609335960002105,5.199243780749747,0.4701036512851715,0.4070073962211609,0.699999988079071,0.30000001192092896
0.04134400418441476,4.893990040522863,0.48278775811195374,0.42116281390190125,0.6833333373069763,0.3166666626930237
0.04649326141003926,4.616315806584704,0.4954008162021637,0.4352495074272156,0.6666666865348816,0.3333333134651184
0.05207445919110463,4.363034311976149,0.5079391598701477,0.4492630362510681,0.6499999761581421,0.3500000238418579
0.05810434691109551,4.131404565653221,0.520399272441864,0.46319901943206787,0.6333333253860474,0.36666667461395264
0.0645989788666086,3.919059019784667,0.5327776074409485,0.4770532548427582,0.6166666746139526,0.38333332538604736
0.07157373399545866,3.7239415555402062,0.5450708866119385,0.49082180857658386,0.6000000238418579,0.3999999761581421
0.07904318035502678,3.5442619257670076,0.5572761297225952,0.504500687122345,0.5833333134651184,0.4166666865348816
0.0870208860191794,3.3784579653890257,0.569390058517456,0.5180860161781311,0.5666666626930237,0.4333333373069763
0.0955195996271303,3.22515671120519,0.581409752368927,0.5315742492675781,0.550000011920929,0.44999998807907104
0.10455099875699206,3.083151339471334,0.5933324098587036,0.5449617505073547,0.5333333611488342,0.46666663885116577
0.11412598148436637,2.9513728449709125,0.6051555871963501,0.5582454800605774,0.5166666507720947,0.4833333492279053
0.12425400521898003,2.8288797947349265,0.6168765425682068,0.5714219808578491,0.5,0.5
0.134943696791683,2.7148326154386453,0.6284929513931274,0.5844883918762207,0.4833333194255829,0.5166666507720947
0.14620238042336425,2.6084856214360514,0.640002429485321,0.5974417924880981,0.46666666865348816,0.5333333015441895
0.1580365640860339,2.509170207291066,0.6514031887054443,0.6102796792984009,0.44999998807907104,0.550000011920929
0.17045111492419726,2.4162920482985513,0.6626930236816406,0.6229992508888245,0.4333333373069763,0.5666666626930237
0.1834502071557355,2.3293143829336076,0.6738702654838562,0.6355984210968018,0.4166666567325592,0.5833333730697632
0.19703639949987492,2.247757632526998,0.684933066368103,0.648074746131897,0.4000000059604645,0.6000000238418579
0.21121155966157062,2.1711868432534125,0.6958799958229065,0.6604264974594116,0.38333332538604736,0.6166666746139526
0.22597601990844862,2.0992114581180563,0.706709623336792,0.6726515889167786,0.36666667461395264,0.6333333253860474
0.24132928023872557,2.031476649373759,0.717420756816864,0.6847484707832336,0.3499999940395355,0.6499999761581421
0.25726941816623866,1.9676621481413241,0.7280120849609375,0.6967155337333679,0.3333333432674408,0.6666666269302368
0.2737938006072826,1.9074756277676335,0.7384828329086304,0.7085514664649963,0.3166666626930237,0.6833333373069763
0.2908982755951796,1.8506528213837736,0.7488319277763367,0.7202548980712891,0.30000001192092896,0.699999988079071
0.30857808170327966,1.7969514951455439,0.7590587139129639,0.7318248748779297,0.28333333134651184,0.7166666984558105
0.32682721834839035,1.746151351453204,0.7691624760627747,0.7432604432106018,0.2666666805744171,0.7333333492279053
0.3456388591905709,1.6980506392620587,0.7791427969932556,0.7545607686042786,0.25,0.75
0.3650052103111536,1.652464803719283,0.7889993190765381,0.7657251358032227,0.23333333432674408,0.7666666507720947
0.3849175536446227,1.6092247415988272,0.7987315654754639,0.7767531275749207,0.21666666865348816,0.7833333015441895
0.40536645960146356,1.5681749413164623,0.8083394169807434,0.7876443266868591,0.20000000298023224,0.800000011920929
0.4263414937711181,1.529172851691873,0.8178228139877319,0.7983982563018799,0.18333333730697632,0.8166666626930237
0.4478316943292693,1.4920868322167244,0.8271816968917847,0.8090148568153381,0.1666666716337204,0.8333333134651184
0.4698255275645281,1.4567953799160096,0.8364162445068359,0.8194941282272339,0.15000000596046448,0.8500000238418579
0.492310690793894,1.4231865943217272,0.8455265760421753,0.8298361897468567,0.13333334028720856,0.8666666746139526
