rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/std,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/clip_range,train/loss
0.0,1,0,0,,,,,,,,,,,,,
-0.40267965625,1.0,64,1,1529,0,,,,,,,,,,,
-0.35495050000000006,1.0,128,2,940,0,-0.004368465766310692,1.0000041723251343,0.00037351064,0.0003,-2.837877035140991,0.37012891173362733,-0.36011624336242676,10,0.0,0.2,0.12928858399391174
-0.38258607999999994,1.0,192,3,990,0,-0.006136278714984655,0.9984683990478516,0.0004752176,0.0003,-2.836845111846924,0.15984329879283904,-0.23582398891448975,20,0.0,0.2,0.04399680718779564
-0.41879635,1.0,256,4,1016,0,-0.013655252661556006,0.9960206747055054,0.001614579,0.0003,-2.8326253414154055,0.10447359457612038,-0.14024782180786133,30,0.0,0.2,0.016089601442217827
-0.39365175,1.0,320,5,1038,0,-0.018172445148229598,0.9955954551696777,0.0027614897,0.0003,-2.8290127515792847,0.06799429282546043,-0.045527100563049316,40,0.0015625,0.2,-0.00652187317609787
-0.3990490199999999,1.0,384,6,1060,0,-0.02936698468402028,0.9944711923599243,0.006327617,0.0003,-2.8284839153289796,0.06513583213090897,0.05513405799865723,50,0.0125,0.2,-0.0278920941054821
-0.3988133300000001,1.0,448,7,1069,0,-0.02608706708997488,0.9909825325012207,0.008320556,0.0003,-2.8238654375076293,0.07064983099699021,0.11661428213119507,60,0.0234375,0.2,-0.014918919652700424
-0.34711799000000004,1.0,512,8,1083,0,-0.019106234796345233,0.9873434901237488,0.005687029,0.0003,-2.816323494911194,0.058593010902404784,0.2849501371383667,70,0.009375,0.2,-0.010238640010356903
-0.34054712000000004,1.0,576,9,1098,0,-0.034750910475850105,0.9840009212493896,0.012906554,0.0003,-2.8093772888183595,0.07915494441986085,-0.029047012329101562,80,0.0546875,0.2,-0.025066345930099487
-0.37760966999999995,1.0,640,10,1109,0,-0.02570337001234293,0.9807612299919128,0.012916567,0.0003,-2.8026264667510987,0.07410878092050552,0.053913116455078125,90,0.046875,0.2,-0.005480509251356125
-0.34254278,1.0,704,11,1113,0,-0.01990971826016903,0.9768857955932617,0.0059910268,0.0003,-2.7955535411834718,0.08187842220067978,-0.04579794406890869,100,0.021875,0.2,0.0029521919786930084
-0.32107608,1.0,768,12,1121,0,-0.014294788613915444,0.9731488227844238,0.0071582124,0.0003,-2.7875260591506956,0.057826663553714755,-0.06948769092559814,110,0.0203125,0.2,0.00023038126528263092
-0.26881947000000006,1.0,832,13,1128,0,-0.02056922484189272,0.9691324234008789,0.007588474,0.0003,-2.77985680103302,0.06574142351746559,-0.022212862968444824,120,0.0375,0.2,-0.0033736005425453186
-0.23710568,1.0,896,14,1131,0,-0.01099336426705122,0.9649742841720581,0.0040057935,0.0003,-2.7712518215179442,0.0509224783629179,-0.13756752014160156,130,0.0078125,0.2,0.0022674817591905594
-0.26505628999999997,1.0,960,15,1135,0,-0.013205053098499776,0.9610323905944824,0.0041208733,0.0003,-2.762857961654663,0.0540981724858284,0.02362227439880371,140,0.0015625,0.2,0.00212901271879673
-0.28680804000000004,1.0,1024,16,1140,0,-0.008030975982546807,0.9583320617675781,0.002798425,0.0003,-2.755535697937012,0.046702508628368375,0.0074841976165771484,150,0.00625,0.2,-0.0039991699159145355
-0.28915214,1.0,1088,17,1144,0,-0.022824033815413713,0.9566730260848999,0.021824434,0.0003,-2.7511325597763063,0.05127974860370159,0.0035386085510253906,160,0.1234375,0.2,-0.007389001548290253
-0.29100338,1.0,1152,18,1146,1,-0.010914345923811197,0.9538990259170532,0.0021599038,0.0003,-2.7469584226608275,0.0562417097389698,0.003277420997619629,170,0.0046875,0.2,0.005976894870400429
-0.28515802000000007,1.0,1216,19,1148,1,-0.018305711075663568,0.95115065574646,0.007842878,0.0003,-2.7407848834991455,0.04322323687374592,0.013452351093292236,180,0.0328125,0.2,-0.01072387583553791
-0.28242526,1.0,1280,20,1151,1,-0.02192841600626707,0.9492296576499939,0.0068032295,0.0003,-2.7357418537139893,0.05017640069127083,0.03503000736236572,190,0.028125,0.2,-0.013366807252168655
-0.25015181,1.0,1344,21,1149,1,-0.004822797421365976,0.9473108053207397,0.002386435,0.0003,-2.7319171905517576,0.046911150217056274,-0.034274935722351074,200,0.0,0.2,0.010565079748630524
-0.22589239,1.0,1408,22,1144,1,-0.013715566508471966,0.945073127746582,0.006076074,0.0003,-2.7275471925735473,0.040006428956985474,-0.002732992172241211,210,0.0140625,0.2,-0.00715349055826664
-0.25593032,1.0,1472,23,1141,1,-0.016776720806956292,0.9420936703681946,0.0134789515,0.0003,-2.7222398281097413,0.03924326039850712,0.006928443908691406,220,0.0828125,0.2,-0.0031195729970932007
-0.23538808,1.0,1536,24,1144,1,-0.008033268433064223,0.9392675161361694,0.008000595,0.0003,-2.7156978130340574,0.04012555480003357,0.007867217063903809,230,0.0234375,0.2,0.004167236387729645
-0.22650523999999997,1.0,1600,25,1146,1,-0.005668657273054123,0.9368613958358765,0.0035881884,0.0003,-2.710281252861023,0.03896571137011051,-0.0023959875106811523,240,0.0015625,0.2,0.0067517999559640884
-0.23787555000000002,1.0,1664,26,1149,1,-0.010342933982610703,0.9344508647918701,0.010286542,0.0003,-2.705104660987854,0.030705323815345763,0.017397046089172363,250,0.0265625,0.2,-0.009165320545434952
-0.24580822000000002,1.0,1728,27,1151,1,0.0006160970777273178,0.9320098161697388,0.0005552275,0.0003,-2.6999403476715087,0.03569213263690472,0.014115691184997559,260,0.0,0.2,0.009830985218286514
-0.24203919000000007,1.0,1792,28,1153,1,-0.02037856597453356,0.9292819499969482,0.017288985,0.0003,-2.694549322128296,0.041146648675203325,0.00967109203338623,270,0.0875,0.2,-0.012828966602683067
-0.24562623000000003,1.0,1856,29,1155,1,-0.009302299423143267,0.9257773160934448,0.00837567,0.0003,-2.687873387336731,0.03569684773683548,0.01661050319671631,280,0.0421875,0.2,0.0062894076108932495
-0.21262224,1.0,1920,30,1152,1,-0.005362526513636112,0.9224328398704529,0.0037368685,0.0003,-2.680283546447754,0.036046944186091424,0.01777583360671997,290,0.0078125,0.2,0.008526096120476723
-0.24174997,1.0,1984,31,1151,1,-0.00327188391238451,0.9197478294372559,0.0031325854,0.0003,-2.67369122505188,0.03116752803325653,-0.0014852285385131836,300,0.0,0.2,0.0034345490857958794
-0.2528011,1.0,2048,32,1147,1,-0.012420369684696198,0.9170712232589722,0.013433646,0.0003,-2.6679953813552855,0.038652172312140465,0.028142869472503662,310,0.075,0.2,0.003923250362277031
-0.24779091000000006,1.0,2112,33,1145,1,-0.013164510112255811,0.914165735244751,0.004022984,0.0003,-2.6619300127029417,0.0507414672523737,0.003872215747833252,320,0.00625,0.2,-0.005904283374547958
-0.2581075400000001,1.0,2176,34,1145,1,-0.0055970155633986,0.9114145040512085,0.0072943987,0.0003,-2.655605173110962,0.038117729127407074,0.04248875379562378,330,0.03125,0.2,0.00340394489467144
-0.24385735,1.0,2240,35,1142,1,-0.000547513086348772,0.9087871313095093,0.0006386386,0.0003,-2.649772024154663,0.030916072614490985,-0.007582426071166992,340,0.0,0.2,0.0014661289751529694
-0.28487524000000003,1.0,2304,36,1144,2,0.0014240295626223088,0.905823826789856,0.00012455508,0.0003,-2.643704867362976,0.02616418693214655,0.027805745601654053,350,0.0,0.2,0.00957783218473196
-0.26497365,1.0,2368,37,1145,2,-0.005526933167129755,0.9025174379348755,0.0020035962,0.0003,-2.6368107080459593,0.04683196656405926,-0.01875436305999756,360,0.0015625,0.2,0.004188334569334984
-0.25948209,1.0,2432,38,1146,2,-0.004539983626455068,0.8993790149688721,0.0063388934,0.0003,-2.6294980525970457,0.030598158948123455,0.02206885814666748,370,0.0203125,0.2,0.006313001736998558
-0.22974341000000004,1.0,2496,39,1148,2,-0.001305784285068512,0.8963460922241211,0.0005998453,0.0003,-2.6227346658706665,0.026965307071805,0.029502570629119873,380,0.0,0.2,0.008388450369238853
-0.25376929,1.0,2560,40,1148,2,-0.012758514285087586,0.8932642936706543,0.0063171284,0.0003,-2.615910840034485,0.039083465933799744,-0.010447859764099121,390,0.0265625,0.2,-0.0016791634261608124
-0.24614369999999997,1.0,2624,41,1147,2,-0.0063146539498120545,0.8910787105560303,0.003204505,0.0003,-2.6096221685409544,0.03339457958936691,0.01617145538330078,400,0.0015625,0.2,0.0012920219451189041
-0.24617072,1.0,2688,42,1148,2,-0.007233753427863121,0.8885880708694458,0.0071799913,0.0003,-2.604907822608948,0.03395145647227764,0.01751917600631714,410,0.0265625,0.2,0.002494577318429947
-0.23321566000000002,1.0,2752,43,1150,2,-0.011561824381351471,0.8862539529800415,0.010418576,0.0003,-2.599031686782837,0.029049654304981232,0.007165670394897461,420,0.071875,0.2,-0.0005635153502225876
-0.25481787,1.0,2816,44,1152,2,-0.0029213739559054374,0.8840898275375366,0.0010822993,0.0003,-2.594176506996155,0.02914771381765604,0.021582722663879395,430,0.0,0.2,0.004808995872735977
-0.2538318,1.0,2880,45,1154,2,-0.01150311203673482,0.8820698261260986,0.008931168,0.0003,-2.589321517944336,0.03803366906940937,-0.018550395965576172,440,0.025,0.2,-0.003937855362892151
-0.2516219,1.0,2944,46,1156,2,-0.009307485446333886,0.8800384402275085,0.0153264245,0.0003,-2.584727954864502,0.029776222817599774,0.02491360902786255,450,0.1078125,0.2,0.005130285397171974
-0.25595548,1.0,3008,47,1158,2,-0.008805767446756364,0.8783625960350037,0.007340327,0.0003,-2.5805405616760253,0.035254047438502314,0.032340943813323975,460,0.0140625,0.2,-0.004667885601520538
-0.26495163,1.0,3072,48,1159,2,-0.012028478551656008,0.8765945434570312,0.016819455,0.0003,-2.576743245124817,0.033699335902929305,0.026331305503845215,470,0.1046875,0.2,0.001367613673210144
-0.23653467,1.0,3136,49,1160,2,-0.0110311821103096,0.874817430973053,0.010822742,0.0003,-2.5725275754928587,0.03933474086225033,-0.0072013139724731445,480,0.0609375,0.2,0.005100026726722717
-0.25411733000000003,1.0,3200,50,1160,2,-0.011063985247164964,0.8730422258377075,0.00945988,0.0003,-2.5686589241027833,0.03498353846371174,0.02975386381149292,490,0.03125,0.2,-0.0037821587175130844
-0.24482724000000006,1.0,3264,51,1160,2,-0.0020265942439436913,0.8710695505142212,0.00075769983,0.0003,-2.5642215490341185,0.036789802461862565,0.011577248573303223,500,0.0,0.2,0.00372505746781826
