rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/std,train/clip_fraction,train/entropy_loss,train/n_updates,train/loss,train/approx_kl,train/value_loss,train/learning_rate
1,0,0,0.0,,,,,,,,,,,,,
1.0,1,64,-0.466666703125,2019,0,,,,,,,,,,,
1.0,2,128,-0.4459999599999999,1403,0,0.2,-0.006795445643365383,0.15414756536483765,0.999992311000824,0.0,-2.837872099876404,10,0.04314083606004715,0.000940796,0.17221237272024154,0.0003
1.0,3,192,-0.43363599999999997,1335,0,0.2,-0.009324290324002504,0.31103914976119995,0.9988856315612793,0.0,-2.8371888160705567,20,0.0019470732659101486,0.0010934733,0.05677639730274677,0.0003
1.0,4,256,-0.43416686000000004,1294,0,0.2,-0.007744232192635536,0.16381984949111938,0.995796799659729,0.0,-2.833035922050476,30,0.01526184007525444,0.001663547,0.061231577023863795,0.0003
1.0,5,320,-0.37917919,1290,0,0.2,-0.01647809650748968,0.30430513620376587,0.9932814836502075,0.0015625,-2.8269071102142336,40,-0.008002690970897675,0.0027224533,0.05563095547258854,0.0003
1.0,6,384,-0.34405739,1297,0,0.2,-0.02287467150017619,0.08530920743942261,0.9912567138671875,0.009375,-2.822578501701355,50,-0.013488706201314926,0.0056246696,0.06969916522502899,0.0003
1.0,7,448,-0.3794569299999999,1303,0,0.2,-0.03635915229097009,0.12531298398971558,0.98956298828125,0.034375,-2.818675470352173,60,-0.03711193799972534,0.009286628,0.0685939647257328,0.0003
1.0,8,512,-0.3951296799999999,1291,0,0.2,-0.012420638278126717,0.1094089150428772,0.9867202043533325,0.0265625,-2.8146538496017457,70,0.008319567888975143,0.009630505,0.06117044724524021,0.0003
1.0,9,576,-0.36202412999999994,1268,0,0.2,-0.018549240101128815,0.007431626319885254,0.983330488204956,0.0328125,-2.808069181442261,80,0.0109054334461689,0.009005659,0.08880020156502724,0.0003
1.0,10,640,-0.33633949,1254,0,0.2,-0.02542722411453724,0.1718430519104004,0.980006217956543,0.0234375,-2.801166296005249,90,-0.01223696768283844,0.008785894,0.06971347779035568,0.0003
1.0,11,704,-0.30713322000000004,1251,0,0.2,-0.018032095301896332,-0.06906723976135254,0.9768489003181458,0.0828125,-2.7945757150650024,100,0.010385306552052498,0.014199999,0.07562651559710502,0.0003
1.0,12,768,-0.27943713,1256,0,0.2,-0.022328359074890614,0.0614396333694458,0.9744446873664856,0.0390625,-2.7886534452438356,110,-0.009148316457867622,0.009575978,0.05893517062067986,0.0003
1.0,13,832,-0.26293917,1255,0,0.2,-0.0065730525180697445,-0.09939467906951904,0.9717600345611572,0.0125,-2.783700704574585,120,0.018102845177054405,0.0044456543,0.06362448744475842,0.0003
1.0,14,896,-0.29122594,1257,0,0.2,-0.011162900645285845,0.021495461463928223,0.969427227973938,0.021875,-2.7782552242279053,130,-0.0021183285862207413,0.0053046,0.0358146857470274,0.0003
1.0,15,960,-0.32453326,1255,0,0.2,-0.012045585550367832,0.014986693859100342,0.9675673246383667,0.0046875,-2.7740402698516844,140,-0.001480836421251297,0.002861441,0.057886777073144914,0.0003
1.0,16,1024,-0.28877872000000004,1253,0,0.2,-0.010605331882834435,0.025531113147735596,0.9647831320762634,0.00625,-2.7694934844970702,150,0.00030583329498767853,0.0018949872,0.05345427542924881,0.0003
1.0,17,1088,-0.2749639,1246,0,0.2,-0.01904112510383129,0.0038450956344604492,0.9621334671974182,0.0125,-2.7636091232299806,160,-0.01027083769440651,0.003750192,0.05658949501812458,0.0003
1.0,18,1152,-0.30198732,1235,0,0.2,-0.01964138187468052,0.04860347509384155,0.9599077701568604,0.0390625,-2.7585415601730348,170,-0.015132175758481026,0.010047143,0.03755433782935143,0.0003
1.0,19,1216,-0.26239353,1185,1,0.2,-0.008330947905778884,0.005607128143310547,0.9577734470367432,0.0109375,-2.754035234451294,180,0.011060573160648346,0.0039288364,0.059787622094154357,0.0003
1.0,20,1280,-0.21549323,1171,1,0.2,-0.020515409670770167,0.012933969497680664,0.9558126330375671,0.059375,-2.749730443954468,190,-0.010238511487841606,0.013578436,0.04625269137322903,0.0003
